[1705928964.8862321] Voltage: 4.98V, Current: 383.70mA, Power: 1911.73mW
[1705928964.9354508] Voltage: 4.99V, Current: 390.20mA, Power: 1945.43mW
[1705928964.9887729] Voltage: 4.97V, Current: 393.90mA, Power: 1957.89mW
[1705928965.037922] Voltage: 4.98V, Current: 385.10mA, Power: 1919.44mW
[1705928965.0869913] Voltage: 4.98V, Current: 401.10mA, Power: 1998.76mW
[1705928965.1362448] Voltage: 4.98V, Current: 380.60mA, Power: 1896.67mW
[1705928965.189436] Voltage: 4.98V, Current: 382.40mA, Power: 1905.16mW
[1705928965.2387362] Voltage: 4.99V, Current: 393.10mA, Power: 1960.28mW
[1705928965.2878473] Voltage: 4.98V, Current: 404.60mA, Power: 2015.81mW
[1705928965.336852] Voltage: 4.98V, Current: 389.40mA, Power: 1938.15mW
[1705928965.3860378] Voltage: 4.99V, Current: 374.50mA, Power: 1867.22mW
[1705928965.4394808] Voltage: 4.99V, Current: 384.80mA, Power: 1918.74mW
[1705928965.488661] Voltage: 4.98V, Current: 387.50mA, Power: 1930.61mW
[1705928965.537818] Voltage: 4.99V, Current: 381.50mA, Power: 1902.37mW
[1705928965.5869594] Voltage: 4.99V, Current: 392.50mA, Power: 1958.65mW
[1705928965.6361802] Voltage: 4.98V, Current: 406.30mA, Power: 2024.76mW
[1705928965.6892493] Voltage: 4.99V, Current: 416.30mA, Power: 2076.63mW
[1705928965.7385504] Voltage: 4.99V, Current: 396.60mA, Power: 1978.09mW
[1705928965.78755] Voltage: 4.99V, Current: 382.60mA, Power: 1908.24mW
[1705928965.8368516] Voltage: 4.98V, Current: 391.60mA, Power: 1951.20mW
[1705928965.8897874] Voltage: 4.99V, Current: 430.10mA, Power: 2144.81mW
[1705928965.9392686] Voltage: 4.99V, Current: 412.40mA, Power: 2059.65mW
[1705928965.9881291] Voltage: 4.99V, Current: 384.40mA, Power: 1918.92mW
[1705928966.0375519] Voltage: 4.97V, Current: 390.90mA, Power: 1942.76mW
[1705928966.0865738] Voltage: 4.99V, Current: 391.40mA, Power: 1951.58mW
[1705928966.139793] Voltage: 4.98V, Current: 401.70mA, Power: 2001.26mW
[1705928966.1890829] Voltage: 4.99V, Current: 386.10mA, Power: 1925.74mW
[1705928966.2382507] Voltage: 4.99V, Current: 413.40mA, Power: 2062.04mW
[1705928966.2873561] Voltage: 4.98V, Current: 399.00mA, Power: 1988.43mW
[1705928966.3363972] Voltage: 4.98V, Current: 423.30mA, Power: 2109.27mW
[1705928966.38957] Voltage: 4.99V, Current: 394.20mA, Power: 1966.27mW
[1705928966.4388442] Voltage: 4.98V, Current: 389.00mA, Power: 1937.24mW
[1705928966.4879186] Voltage: 4.98V, Current: 384.00mA, Power: 1913.45mW
[1705928966.5372164] Voltage: 4.99V, Current: 403.40mA, Power: 2011.32mW
[1705928966.5904331] Voltage: 4.99V, Current: 391.70mA, Power: 1953.27mW
[1705928966.639421] Voltage: 4.99V, Current: 431.70mA, Power: 2153.08mW
[1705928966.6885796] Voltage: 4.98V, Current: 386.40mA, Power: 1924.26mW
[1705928966.7378132] Voltage: 4.98V, Current: 388.40mA, Power: 1935.44mW
[1705928966.7871125] Voltage: 4.99V, Current: 385.00mA, Power: 1921.48mW
