[1706438446.6663828] starting program
[1706438446.7142067] Ok
[1706439922.619624] Little Frequency: 1000000, Big Frequency: 1512000, GPU On: 1, pp1:2, pp2:6, order:B-G-L, s1_input:0.001819, s1_inference:42.999500, s2_input:0.298758, s2_inference:64.996300, s3_input:0.134165, s3_inference:65.051300, fps:15.315100,
[1706439943.5676258] Little Frequency: 1398000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:4, order:B-G-L, s1_input:0.001179, s1_inference:34.683300, s2_input:6.778440, s2_inference:27.337000, s3_input:0.161333, s3_inference:143.755997, fps:6.948440,
[1706439958.7274609] Little Frequency: 667000, Big Frequency: 1608000, GPU On: 1, pp1:6, pp2:7, order:B-G-L, s1_input:0.001228, s1_inference:108.155998, s2_input:78.749496, s2_inference:27.781200, s3_input:90.893402, s3_inference:15.413400, fps:9.245840,
[1706439972.5354204] Little Frequency: 1800000, Big Frequency: 1704000, GPU On: 1, pp1:2, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.004542, s1_inference:42.439800, s2_input:0.336022, s2_inference:75.427498, fps:13.199000,
[1706439984.0940099] Little Frequency: 1398000, Big Frequency: 1200000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001182, s1_inference:80.132103, s2_input:20.680099, s2_inference:58.895401, s3_input:66.533501, s3_inference:11.490500, fps:12.479200,
[1706440000.7738576] Little Frequency: 667000, Big Frequency: 1608000, GPU On: 1, pp1:1, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001540, s1_inference:17.961500, s2_input:0.499608, s2_inference:87.884499, fps:11.314300,
[1706440023.8474815] Little Frequency: 1398000, Big Frequency: 1608000, GPU On: 1, pp1:1, pp2:4, order:B-G-L, s1_input:0.001956, s1_inference:17.820499, s2_input:0.585122, s2_inference:35.542099, s3_input:0.166308, s3_inference:143.167999, fps:6.976700,
[1706440044.3233624] Little Frequency: 1608000, Big Frequency: 1704000, GPU On: 1, pp1:1, pp2:5, order:B-G-L, s1_input:0.001892, s1_inference:16.529499, s2_input:0.445869, s2_inference:40.617901, s3_input:0.029440, s3_inference:111.505997, fps:8.965790,
[1706440067.0973592] Little Frequency: 1000000, Big Frequency: 667000, GPU On: 1, pp1:3, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001788, s1_inference:106.667000, s2_input:20.410200, s2_inference:86.059799, fps:9.374820,
[1706440081.9907353] Little Frequency: 1608000, Big Frequency: 1200000, GPU On: 1, pp1:4, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001464, s1_inference:75.175301, s2_input:8.981200, s2_inference:65.845200, fps:13.302000,
[1706440097.1107314] Little Frequency: 500000, Big Frequency: 1608000, GPU On: 1, pp1:5, pp2:6, order:B-G-L, s1_input:0.001070, s1_inference:60.370998, s2_input:9.951870, s2_inference:49.892700, s3_input:0.029141, s3_inference:110.668999, fps:9.033560,
[1706440108.3631206] Little Frequency: 1512000, Big Frequency: 1398000, GPU On: 1, pp1:5, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001231, s1_inference:72.828300, s2_input:10.416000, s2_inference:62.090500, fps:13.730700,
[1706440131.0150611] Little Frequency: 1398000, Big Frequency: 1398000, GPU On: 1, pp1:1, pp2:5, order:B-G-L, s1_input:0.001781, s1_inference:19.115900, s2_input:0.474489, s2_inference:40.776299, s3_input:0.031515, s3_inference:122.328003, fps:8.172610,
[1706440152.8910651] Little Frequency: 1512000, Big Frequency: 1704000, GPU On: 1, pp1:1, pp2:4, order:B-G-L, s1_input:0.001806, s1_inference:16.716700, s2_input:0.452192, s2_inference:34.675499, s3_input:0.171296, s3_inference:135.914001, fps:7.348340,
[1706440172.5750382] Little Frequency: 1704000, Big Frequency: 500000, GPU On: 0, pp1:4, pp2:4, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s3_input:0.268810, s3_inference:165.776001, s1_input:0.002235, s1_inference:145.304993, fps:6.022470,
[1706440190.8909783] Little Frequency: 1608000, Big Frequency: 1512000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001437, s1_inference:52.935200, s2_input:39.867100, s2_inference:12.082300, s3_input:0.026904, s3_inference:107.875000, fps:9.267640,
[1706440222.3912997] Little Frequency: 667000, Big Frequency: 1398000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001392, s1_inference:56.764900, s2_input:43.553001, s2_inference:12.189800, s3_input:0.040369, s3_inference:219.701996, fps:4.550790,
[1706440235.4908433] Little Frequency: 1704000, Big Frequency: 1398000, GPU On: 1, pp1:4, pp2:7, order:B-G-L, s1_input:0.037563, s1_inference:67.236000, s2_input:5.105330, s2_inference:61.952599, s3_input:53.132500, s3_inference:12.094000, fps:14.864700,
[1706440269.5839128] Little Frequency: 667000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:4, order:B-G-L, s1_input:0.001345, s1_inference:37.908001, s2_input:14.161600, s2_inference:23.207399, s3_input:0.213491, s3_inference:267.558990, fps:3.734510,
