[1706280163.7722404] starting program
[1706280163.8198326] Ok
[1706281317.7442522] Little Frequency: 1704000, Big Frequency: 500000, GPU On: 1, pp1:5, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.002081, s1_inference:176.572006, s2_input:106.043999, s2_inference:68.765800, fps:5.663360,
[1706281329.0325494] Little Frequency: 1398000, Big Frequency: 1200000, GPU On: 1, pp1:5, pp2:6, order:B-G-L, s1_input:0.001229, s1_inference:72.634399, s2_input:17.610500, s2_inference:54.828899, s3_input:20.685200, s3_inference:50.887798, fps:13.767400,
[1706281347.469085] Little Frequency: 1398000, Big Frequency: 2100000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001231, s1_inference:41.075901, s2_input:28.537901, s2_inference:12.055000, s3_input:0.026919, s3_inference:116.823997, fps:8.557940,
[1706281372.4127345] Little Frequency: 1704000, Big Frequency: 667000, GPU On: 1, pp1:1, pp2:2, order:B-G-L, s1_input:0.001875, s1_inference:34.778801, s2_input:9.834900, s2_inference:24.833300, s3_input:0.139277, s3_inference:186.003998, fps:5.372200,
[1706281393.0648794] Little Frequency: 500000, Big Frequency: 1000000, GPU On: 1, pp1:1, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.007374, s1_inference:25.702999, s2_input:0.474792, s2_inference:86.259300, fps:11.529500,
[1706281404.6925144] Little Frequency: 1704000, Big Frequency: 1800000, GPU On: 1, pp1:4, pp2:7, order:B-G-L, s1_input:0.001238, s1_inference:58.709400, s2_input:0.391198, s2_inference:61.651798, s3_input:47.851501, s3_inference:12.444500, fps:16.117800,
[1706281417.3858833] Little Frequency: 1800000, Big Frequency: 1704000, GPU On: 0, pp1:5, pp2:5, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001129, s1_inference:50.569000, s3_input:0.024606, s3_inference:100.248001, fps:9.972800,
[1706281439.4690406] Little Frequency: 667000, Big Frequency: 500000, GPU On: 1, pp1:5, pp2:6, order:B-G-L, s1_input:0.001700, s1_inference:170.723007, s2_input:112.154999, s2_inference:56.548000, s3_input:91.749901, s3_inference:76.731201, fps:5.857380,
[1706281453.8450167] Little Frequency: 1800000, Big Frequency: 2208000, GPU On: 1, pp1:1, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001683, s1_inference:13.372700, s2_input:0.236298, s2_inference:81.085800, fps:12.296800,
[1706281473.74106] Little Frequency: 1608000, Big Frequency: 1200000, GPU On: 1, pp1:3, pp2:4, order:B-G-L, s1_input:0.001294, s1_inference:55.360500, s2_input:39.570499, s2_inference:15.141300, s3_input:0.148133, s3_inference:126.235001, fps:7.912440,
[1706281505.5156085] Little Frequency: 1704000, Big Frequency: 667000, GPU On: 1, pp1:7, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001786, s1_inference:300.445007, s2_input:277.257996, s2_inference:18.314699, fps:3.328380,
[1706281525.9323626] Little Frequency: 1800000, Big Frequency: 1908000, GPU On: 1, pp1:1, pp2:2, order:B-G-L, s1_input:0.001579, s1_inference:14.500700, s2_input:0.331361, s2_inference:18.303900, s3_input:0.091833, s3_inference:166.597000, fps:5.999210,
[1706281538.7174306] Little Frequency: 667000, Big Frequency: 2208000, GPU On: 1, pp1:2, pp2:7, order:B-G-L, s1_input:0.003798, s1_inference:36.138000, s2_input:0.245770, s2_inference:70.876801, s3_input:51.985699, s3_inference:16.896999, fps:14.060200,
[1706281592.4055035] Little Frequency: 500000, Big Frequency: 667000, GPU On: 1, pp1:1, pp2:2, order:B-G-L, s1_input:0.001924, s1_inference:34.877300, s2_input:10.193900, s2_inference:24.597799, s3_input:0.177378, s3_inference:491.984009, fps:2.031850,
[1706281612.6854594] Little Frequency: 1200000, Big Frequency: 1908000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001251, s1_inference:44.642700, s2_input:32.131802, s2_inference:11.998400, s3_input:0.027562, s3_inference:130.300003, fps:7.672990,
[1706281627.1577358] Little Frequency: 1608000, Big Frequency: 2100000, GPU On: 1, pp1:1, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001504, s1_inference:13.712900, s2_input:0.234607, s2_inference:81.169800, fps:12.284300,
[1706281658.7359695] Little Frequency: 1200000, Big Frequency: 667000, GPU On: 1, pp1:7, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001788, s1_inference:299.446991, s2_input:276.510986, s2_inference:18.292200, fps:3.339470,
[1706281684.2939785] Little Frequency: 667000, Big Frequency: 667000, GPU On: 1, pp1:1, pp2:6, order:B-G-L, s1_input:0.002263, s1_inference:34.563801, s2_input:0.653793, s2_inference:83.103798, s3_input:0.033615, s3_inference:83.723099, fps:11.939200,
[1706281706.712531] Little Frequency: 1000000, Big Frequency: 2100000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001323, s1_inference:41.160000, s2_input:28.658199, s2_inference:12.036800, s3_input:0.030586, s3_inference:150.626999, fps:6.637580,
[1706281725.6490521] Little Frequency: 1704000, Big Frequency: 1200000, GPU On: 1, pp1:3, pp2:5, order:B-G-L, s1_input:0.001462, s1_inference:56.374199, s2_input:31.167000, s2_inference:24.688299, s3_input:0.026658, s3_inference:104.268997, fps:9.588170,
[1706281747.1692135] Little Frequency: 1704000, Big Frequency: 1398000, GPU On: 1, pp1:1, pp2:2, order:B-G-L, s1_input:0.001559, s1_inference:18.360001, s2_input:0.408144, s2_inference:19.612900, s3_input:0.094732, s3_inference:171.860992, fps:5.815430,
[1706281765.5902472] Little Frequency: 1800000, Big Frequency: 2016000, GPU On: 1, pp1:1, pp2:5, order:B-G-L, s1_input:0.001406, s1_inference:13.815800, s2_input:0.274021, s2_inference:35.784401, s3_input:0.024784, s3_inference:98.999603, fps:10.098500,
[1706281779.6864102] Little Frequency: 1512000, Big Frequency: 1908000, GPU On: 1, pp1:7, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001127, s1_inference:108.935997, s2_input:89.360703, s2_inference:18.063700, fps:9.179620,
[1706281794.3660102] Little Frequency: 500000, Big Frequency: 2100000, GPU On: 0, pp1:7, pp2:7, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s3_input:0.025151, s3_inference:19.857800, s1_input:0.000994, s1_inference:103.389000, fps:9.672100,
[1706281813.1821904] Little Frequency: 1512000, Big Frequency: 1398000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001310, s1_inference:55.585201, s2_input:42.900700, s2_inference:11.994400, s3_input:0.028586, s3_inference:110.998001, fps:9.006890,
[1706281835.8503816] Little Frequency: 1608000, Big Frequency: 1398000, GPU On: 1, pp1:1, pp2:3, order:B-G-L, s1_input:0.001776, s1_inference:18.175400, s2_input:0.436466, s2_inference:26.284599, s3_input:0.133386, s3_inference:149.201996, fps:6.696320,
[1706281854.6783893] Little Frequency: 500000, Big Frequency: 1704000, GPU On: 1, pp1:1, pp2:6, order:B-G-L, s1_input:0.001706, s1_inference:16.669500, s2_input:0.397574, s2_inference:74.050598, s3_input:0.025855, s3_inference:101.281998, fps:9.870860,
[1706281868.6947296] Little Frequency: 1800000, Big Frequency: 1200000, GPU On: 1, pp1:3, pp2:7, order:B-G-L, s1_input:0.001474, s1_inference:66.118202, s2_input:0.389654, s2_inference:66.057098, s3_input:55.454899, s3_inference:9.256100, fps:15.049700,
[1706281881.1547127] Little Frequency: 1000000, Big Frequency: 1800000, GPU On: 1, pp1:3, pp2:7, order:B-G-L, s1_input:0.003176, s1_inference:60.082901, s2_input:0.395983, s2_inference:68.275101, s3_input:51.951698, s3_inference:14.864800, fps:14.562200,
[1706281928.5106692] Little Frequency: 1512000, Big Frequency: 500000, GPU On: 1, pp1:7, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.004988, s1_inference:461.074005, s2_input:435.291992, s2_inference:18.807600, fps:2.168820,
[1706281951.8389657] Little Frequency: 1000000, Big Frequency: 1398000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001485, s1_inference:56.007099, s2_input:43.188900, s2_inference:12.107900, s3_input:0.029169, s3_inference:149.888000, fps:6.670360,
[1706281994.102693] Little Frequency: 500000, Big Frequency: 2208000, GPU On: 1, pp1:2, pp2:4, order:B-G-L, s1_input:0.001358, s1_inference:32.448299, s2_input:11.197700, s2_inference:21.096901, s3_input:0.242419, s3_inference:348.673004, fps:2.866020,
[1706282021.030939] Little Frequency: 1200000, Big Frequency: 667000, GPU On: 1, pp1:1, pp2:7, order:B-G-L, s1_input:0.004244, s1_inference:37.117599, s2_input:0.663709, s2_inference:86.896301, s3_input:74.207703, s3_inference:10.916300, fps:11.420700,
[1706282041.0311408] Little Frequency: 1512000, Big Frequency: 1398000, GPU On: 1, pp1:3, pp2:4, order:B-G-L, s1_input:0.002042, s1_inference:49.325600, s2_input:33.511501, s2_inference:15.281000, s3_input:0.145287, s3_inference:131.807007, fps:7.578510,
[1706282059.1167533] Little Frequency: 1512000, Big Frequency: 1800000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001131, s1_inference:45.898998, s2_input:33.240398, s2_inference:12.105100, s3_input:0.026088, s3_inference:110.800003, fps:9.023110,
[1706282074.4546955] Little Frequency: 500000, Big Frequency: 1200000, GPU On: 1, pp1:3, pp2:7, order:B-G-L, s1_input:0.001458, s1_inference:69.272202, s2_input:1.730340, s2_inference:67.578796, s3_input:44.443100, s3_inference:23.144800, fps:14.428100,
[1706282087.0586405] Little Frequency: 1200000, Big Frequency: 2100000, GPU On: 1, pp1:2, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.002933, s1_inference:36.112598, s2_input:0.205542, s2_inference:71.954399, fps:13.858100,
[1706282097.7856562] Little Frequency: 1398000, Big Frequency: 1398000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001141, s1_inference:71.852997, s2_input:13.807200, s2_inference:57.862701, s3_input:61.172001, s3_inference:8.919270, fps:13.917100,
[1706282111.2266073] Little Frequency: 1704000, Big Frequency: 1398000, GPU On: 1, pp1:4, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001506, s1_inference:67.597099, s2_input:3.070680, s2_inference:64.577797, fps:14.782300,
[1706282124.3859358] Little Frequency: 1200000, Big Frequency: 1908000, GPU On: 1, pp1:6, pp2:7, order:B-G-L, s1_input:0.001202, s1_inference:93.115799, s2_input:64.092201, s2_inference:28.004000, s3_input:82.141899, s3_inference:9.618690, fps:10.739200,
[1706282136.7890418] Little Frequency: 1512000, Big Frequency: 2100000, GPU On: 1, pp1:6, pp2:7, order:B-G-L, s1_input:0.001317, s1_inference:86.608200, s2_input:58.049999, s2_inference:27.646500, s3_input:76.686600, s3_inference:8.658940, fps:11.546100,
[1706282149.92258] Little Frequency: 1608000, Big Frequency: 1608000, GPU On: 1, pp1:2, pp2:6, order:B-G-L, s1_input:0.001596, s1_inference:41.368900, s2_input:0.302215, s2_inference:62.974998, s3_input:7.970460, s3_inference:53.823101, fps:15.803500,
[1706282175.4735525] Little Frequency: 1200000, Big Frequency: 2208000, GPU On: 1, pp1:1, pp2:2, order:B-G-L, s1_input:0.001671, s1_inference:13.003600, s2_input:0.325956, s2_inference:18.670799, s3_input:0.096828, s3_inference:222.589005, fps:4.490640,
[1706282185.389238] Little Frequency: 667000, Big Frequency: 2016000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001088, s1_inference:59.833801, s2_input:1.185160, s2_inference:58.773300, s3_input:38.954601, s3_inference:19.509300, fps:16.678200,
[1706282200.1491706] Little Frequency: 1398000, Big Frequency: 1512000, GPU On: 0, pp1:5, pp2:5, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001189, s1_inference:55.416801, s3_input:0.026495, s3_inference:116.434998, fps:8.586560,
[1706282214.5147867] Little Frequency: 1000000, Big Frequency: 2100000, GPU On: 1, pp1:1, pp2:7, order:B-G-L, s1_input:0.002034, s1_inference:13.978300, s2_input:0.282797, s2_inference:78.693398, s3_input:64.862801, s3_inference:11.370000, fps:12.662000,
[1706282233.571099] Little Frequency: 1800000, Big Frequency: 667000, GPU On: 0, pp1:2, pp2:2, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.002024, s1_inference:80.018700, s3_input:0.137167, s3_inference:184.597000, fps:5.413190,
[1706282243.8470137] Little Frequency: 667000, Big Frequency: 1704000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001118, s1_inference:65.161903, s2_input:6.672030, s2_inference:58.450001, s3_input:46.317699, s3_inference:17.186199, fps:15.346100,
[1706282266.9070544] Little Frequency: 500000, Big Frequency: 667000, GPU On: 1, pp1:3, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001738, s1_inference:109.056999, s2_input:22.931900, s2_inference:85.932999, fps:9.169390,
